001 anilocita -> anirlocita :  CORRECTION(B), MW=WILTAB
002 aniloqita -> anirloqita :  CORRECTION(B), MW=WILTAB
003 anakampA -> anukampA :  CORRECTION(B), MW=WILTAB
004 anatarzaRa -> anutarzaRa :  CORRECTION(B), MW=WILTAB
005 anapaBukta -> anupaBukta :  CORRECTION(B), MW=WILTAB
006 anaqamUka -> aneqamUka :  CORRECTION(B), MW=WILTAB
007 annakAzWaka -> annakozWaka :  CORRECTION(B), MW=WILTAB
008 aByapagamita -> aByupagamita :  CORRECTION(B), MW=WILTAB
009 amAnazya -> amAnuzya :  CORRECTION(B), MW=WILTAB
010 arizwawuzwaDI -> arizwaduzwaDI :  CORRECTION(B), MW=WILTAB
011 arSAroga -> arSoroga :  CORRECTION(B), MW=WILTAB
012 astata -> astuta :  CORRECTION(B), MW=WILTAB
013 asTisamapaRa -> asTisamarpaRa :  CORRECTION(B), MW=WILTAB
014 asPawaPala -> asPuwaPala :  CORRECTION(B), MW=WILTAB
015 ahicCatra -> ahicCattra :  CORRECTION(B), MW=WILTAB
016 AmeDa -> AseDa :  CORRECTION(B), MW=WILTAB
017 Ipsa -> Ipsu :  CORRECTION(B), MW=WILTAB
018 utkaYcitA -> utkuYcitA :  CORRECTION(B), MW=WILTAB
019 uttIras -> uttIram :  CORRECTION(B), MW=WILTAB
020 unnasra -> unnamra :  CORRECTION(B), MW=WILTAB
021 upapAwuka -> upapAduka :  CORRECTION(B), MW=WILTAB
022 uzRAdaka -> uzRodaka :  CORRECTION(B), MW=WILTAB
023 ekayAni -> ekayoni :  CORRECTION(B), MW=WILTAB
024 kaNkarAla -> kaNkarola :  CORRECTION(B), MW=WILTAB
025 kawaBadra -> kawuBadra :  CORRECTION(B), MW=WILTAB
026 kattAya -> kattoya :  CORRECTION(B), MW=WILTAB
027 kawuzRa -> kaduzRa :  CORRECTION(B), MW=WILTAB
028 karinAmikA -> karinAsikA :  CORRECTION(B), MW=WILTAB
029 kaRagUTa -> karRagUTa :  CORRECTION(B), MW=WILTAB
030 karRajalakA -> karRajalUkA :  CORRECTION(B), MW=WILTAB
031 karRImuta -> karRIsuta :  CORRECTION(B), MW=WILTAB
032 kadawa -> kardawa :  CORRECTION(B), MW=WILTAB
033 kANkzAru -> kANkzoru :  CORRECTION(B), MW=WILTAB
034 kAmApahata -> kAmopahata :  CORRECTION(B), MW=WILTAB
035 kArakahatu -> kArakahetu :  CORRECTION(B), MW=WILTAB
036 kArttikotmava -> kArttikotsava :  CORRECTION(B), MW=WILTAB
037 kApAsanAsikA -> kArpAsanAsikA :  CORRECTION(B), MW=WILTAB
038 kAlakastarI -> kAlakastUrI :  CORRECTION(B), MW=WILTAB
