001 akakkaSa -> akarkkaSa :  CORRECTION(A), MW=akarkaSa
002 akftrina -> akftrima :  CORRECTION(A), MW=WILTAB
003 akfya -> akfpa :  CORRECTION(A), MW=WILTAB
004 akoviw -> akovida :  CORRECTION(A), MW=*
005 akrADa -> akroDa :  CORRECTION(A), MW=WILTAB
006 akzaviw -> akzavid :  CORRECTION(A), MW=WILTAB
007 akzasUtraM -> akzasUtra :  CORRECTION(A), MW=WILTAB
008 agAcara -> agocara :  CORRECTION(A), MW=WILTAB
009 agnikAryyaM -> agnikAryya :  CORRECTION(A), MW=agnikArya
010 agnimanya -> agnimanTa :  CORRECTION(A), MW=WILTAB
011 agnivarhvaka -> agnivardDaka :  CORRECTION(A), MW=agnivarDaka
012 agnIz -> agnID :  CORRECTION(A), MW=WILTAB
013 aNkabidyA -> aNkavidyA :  CORRECTION(A), MW=WILTAB
014 aNgaprAyaSvitta -> aNgaprAyaScitta :  CORRECTION(A), MW=WILTAB
014a prAyaSvitta -> prAyaScitta : similar
015 aNgAraballarI -> aNgAravallarI :  CORRECTION(A), MW=*
016 ajamAdA -> ajamodA :  CORRECTION(A), MW=WILTAB
017 aYjanAGikA -> aYjanADikA :  CORRECTION(A), MW=WILTAB
018 atiwuzkara -> atiduzkara :  CORRECTION(A), MW=WILTAB
019 atiSeBana -> atiSoBana :  CORRECTION(A), MW=WILTAB
020 atyukfzwa -> atyutkfzwa :  CORRECTION(A), MW=*atyutkfzwa
021 avapa -> atrapa :  CORRECTION(A), MW=*
022 avaBavat -> atraBavat :  CORRECTION(A), MW=WILTAB
023 awuzwa -> aduzwa :  CORRECTION(A), MW=WILTAB
024 advata -> advEta :  CORRECTION(A), MW=WILTAB
025 advatavAdin -> advEtavAdin :  CORRECTION(A), MW=WILTAB
026 aDasaBftaka -> aDamaBftaka :  CORRECTION(A), MW=WILTAB
027 aDaramaDa -> aDaramaDu :  CORRECTION(A), MW=WILTAB
028 aDijyotiz -> aDijyotiza :  CORRECTION(A), MW=aDijyotizam
029 aDoyantva -> aDoyantra :  CORRECTION(A), MW=WILTAB
030 anataka -> anantaka :  CORRECTION(A), MW=WILTAB
031 anapAvin -> anapAyin :  CORRECTION(A), MW=WILTAB
032 anaBimava -> anaBimata :  CORRECTION(A), MW=WILTAB
033 anakaraRa -> anukaraRa :  CORRECTION(A), MW=*
034 anukraMmaRikA -> anukramaRikA :  CORRECTION(A), MW=WILTAB
035 anuraYjanaM -> anuraYjana :  CORRECTION(A), MW=WILTAB
036 apraSastaM -> apraSasta :  CORRECTION(A), MW=WILTAB
037 aBihitatvaM -> aBihitatva :  CORRECTION(A), MW=WILTAB
038 amanegata -> amanogata :  CORRECTION(A), MW=*
039 avawaja -> avawuja :  CORRECTION(A), MW=*
040 amat -> asat :  CORRECTION(A), MW=*
041 astranivAraRaM -> astranivAraRa :  CORRECTION(A), MW=*
042 Akrazwa -> Akruzwa :  CORRECTION(A), MW=WILTAB
043 AKubizahA -> AKuvizahA :  CORRECTION(A), MW=WILTAB
044 AtmAvida -> Atmavid :  CORRECTION(A), MW=WILTAB
44a viw -> vid : extra correction
045 Adipuruze -> Adipuruza :  CORRECTION(A), MW=WILTAB
046 Anasra -> Anamra :  CORRECTION(A), MW=WILTAB
047 AntavaSmika -> AntarveSmika :  CORRECTION(A), MW=WILTAB
048 AmUsta -> AmUla :  CORRECTION(A), MW=*
049 AmAzin -> Amozin :  CORRECTION(A), MW=WILTAB
050 AyaDAgAra -> AyuDAgAra :  CORRECTION(A), MW=WILTAB
051 AyaDika -> AyuDika :  CORRECTION(A), MW=WILTAB
052 AranDa -> ArabDa :  CORRECTION(A), MW=WILTAB
053 ArkzaMvarza -> Arkzavarza :  CORRECTION(A), MW=WILTAB
